SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1648227771.186095, 3.981707, -15.842582, 2.950105, -0.687816, -0.013468, 6.221398, 111.826660, -34.644669, 114.377975
1648227771.219416, 1.874361, -13.353360, 2.788796, -0.284425, 0.119726, 5.383553, 105.932892, -33.846130, 109.158768
1648227771.252772, 0.317531, -14.555998, 1.720084, 0.116101, 1.551551, 4.024280, 102.411880, -32.928650, 105.617249
1648227771.286135, 3.649811, -6.540959, 1.564760, 0.632022, 1.313633, -0.231999, 101.655426, -32.737640, 102.688065
1648227771.319415, 5.721095, -9.713575, 2.439093, 1.019012, 1.450045, -2.590078, 106.789261, -32.376587, 101.446060
1648227771.352792, 9.118018, -11.266814, 3.291728, 0.858836, 0.271974, -3.251495, 112.131058, -31.515244, 100.670105
1648227771.386089, -18.885463, -12.229283, -1.688660, 0.352442, -0.441922, -0.735176, 115.871521, -31.125122, 99.394943
1648227771.419457, 2.473809, -15.953763, 2.026692, 0.601079, 1.725664, -2.706265, 119.230545, -30.134140, 98.543991
1648227771.452756, 6.900987, -15.666010, 0.453103, 0.905702, 0.988664, -2.745348, 123.864761, -28.245865, 99.781067
1648227771.486080, 2.170194, -4.437503, 3.338415, 1.166015, 0.814251, -2.111137, 126.414276, -26.445114, 100.759903
1648227771.519434, 5.064784, -11.099669, 6.105514, 0.405999, -0.731910, -1.345487, 128.505554, -24.939407, 101.128571
1648227771.552756, 1.473631, -9.639804, 1.218499, 0.442992, -2.021873, -0.705306, 131.871078, -23.881668, 99.651154
1648227771.586158, -1.385195, -10.676194, 0.974739, 0.381325, -0.297011, -0.737766, 133.279312, -23.277008, 99.468704
1648227771.619417, 1.836802, -8.779687, 3.878607, 0.333929, -0.586187, -0.560913, 134.309586, -22.479126, 99.853134
1648227771.652780, 1.344793, -8.907927, 4.249259, 0.279311, -0.902052, -0.404450, 135.564682, -21.913635, 99.031204
1648227771.686097, -1.496077, -9.510667, 3.065925, 0.245331, -0.433534, -0.533375, 136.526306, -21.339218, 99.050735
1648227771.719436, 0.333692, -9.374646, 3.751265, 0.185003, -0.513610, -0.591137, 137.514130, -20.842819, 98.676987
1648227771.752751, 0.926406, -9.344270, 2.893393, 0.173762, -0.527656, -0.615672, 138.592392, -20.281235, 98.181458
1648227771.786105, 0.922217, -9.568277, 3.006219, 0.142833, -0.420226, -0.687392, 140.008148, -19.676392, 97.755585
1648227771.819426, 0.004339, -8.625111, 3.146580, 0.130798, -0.565914, -0.847587, 141.311768, -19.022766, 96.910934
1648227771.852758, -1.107767, -9.722703, 3.427300, 0.172756, -0.856522, -1.122376, 142.782715, -17.968796, 96.381546
1648227771.886087, -3.546262, -10.430040, 2.192341, 0.264845, -0.510361, -1.706613, 145.494049, -15.851654, 95.064072
1648227771.919430, -0.411054, -11.859528, 2.028787, 0.347215, -0.544962, -2.287894, 148.108582, -13.667831, 94.611450
1648227771.952764, -0.306607, -13.435661, 3.316568, 0.309951, -0.787540, -2.609511, 150.753815, -10.772369, 93.293579
1648227771.986094, -2.517952, -15.654039, 3.997269, 0.218467, -1.018607, -2.913956, 155.048370, -6.839294, 91.564255
1648227772.019434, -3.188478, -17.339557, 3.001281, 0.084461, -1.987003, -2.857047, 158.921188, -3.956528, 88.965775
1648227772.052769, -7.015460, -16.940174, 0.477793, 0.325103, -2.616050, -2.959920, 162.989532, -2.229263, 83.907120
1648227772.086087, -1.046266, -14.396933, 3.891326, 0.518796, -0.561644, -2.923422, 166.800278, 0.017441, 81.751770
1648227772.119425, 5.602282, -7.766790, 3.405602, 0.881847, 0.997066, -1.963995, 170.591187, 0.318314, 83.650772
1648227772.152792, 0.641197, -6.333711, 1.416769, 0.131458, -0.693702, 0.454312, 172.579651, -3.779114, 84.746155
1648227772.186122, 0.308253, -1.805228, 0.107889, 0.072339, -0.146572, 1.701849, 173.215637, -10.777420, 84.564468
1648227772.219407, 2.154632, -2.709189, 1.299303, -0.038472, 0.145394, 2.636419, 170.403595, -22.702057, 85.089828
1648227772.252324, 2.062156, -3.751115, 1.625663, -0.388355, 0.599085, 4.030028, 164.889893, -32.789703, 85.895645
1648227772.285321, 1.486350, -4.644602, 1.686565, -0.552472, 1.062157, 4.849505, 156.056961, -43.147400, 86.836105
1648227772.319432, 1.357512, -6.705111, 1.620725, -0.682670, 1.582591, 5.453883, 138.988968, -54.342255, 87.109863
1648227772.352767, 2.456002, -10.795306, 2.607585, -0.859409, 1.452200, 6.195364, 123.489670, -58.416718, 86.466156
1648227772.386147, 2.158822, -15.683368, 3.121291, -0.897177, 1.338508, 6.428116, 107.154678, -58.660065, 84.428848
1648227772.419437, 2.437746, -17.854759, 4.647594, -0.998548, 1.678819, 5.815995, 89.086777, -52.786911, 80.918396
1648227772.452759, 3.215712, -16.336835, 4.181623, -0.289677, 1.609461, 4.625196, 80.440369, -46.867218, 78.959442
1648227772.486162, 7.052121, -8.875904, 3.857059, 0.232670, -0.384499, 0.360473, 76.955185, -42.564285, 78.934219
1648227772.519438, 6.701969, -9.096021, 1.153107, 0.804610, 0.343272, -2.412660, 79.489624, -41.792587, 79.709198
1648227772.552766, 2.133234, -15.112500, 5.834221, 0.189211, 0.087674, -2.939103, 85.388824, -42.501678, 80.946808
1648227772.586089, 6.827216, -15.786917, 2.477999, 1.040756, 1.444270, -3.931690, 90.615295, -43.437302, 82.247192
1648227772.619465, 9.909301, -9.301324, 3.182193, 1.008060, 0.646071, -2.898530, 95.932022, -43.733871, 83.867035
1648227772.652762, 4.119374, -8.331074, 5.402815, 0.876430, -0.583123, -2.027397, 100.893387, -43.615891, 85.997635
1648227772.686109, 4.037073, -9.735123, 3.253271, 0.469073, -1.070002, -1.086966, 103.277588, -43.189728, 86.997726
1648227772.719428, 1.823484, -10.585364, 3.232322, 0.229715, -0.369759, -0.762843, 104.870377, -43.090454, 87.469498
1648227772.752776, 1.648109, -9.807847, 3.233070, 0.178445, -0.591431, -0.524110, 106.412750, -42.926056, 88.150543
1648227772.786094, 0.802207, -8.897751, 3.449296, 0.108655, -0.692728, -0.354531, 107.093140, -42.804260, 88.648087
1648227772.819440, -0.562188, -9.683798, 2.198775, 0.129855, -0.251252, -0.500070, 107.861847, -42.675018, 88.908371
1648227772.852763, 0.101604, -8.064868, 2.600402, 0.189308, -0.189163, -0.625350, 109.002899, -42.442596, 88.827393
1648227772.886121, 0.387861, -9.005341, 3.378967, 0.182778, -0.511284, -0.659759, 110.544113, -42.217300, 89.244003
1648227772.918887, -0.007332, -8.914960, 2.517952, 0.202914, -0.360240, -0.921726, 111.657013, -41.885345, 89.691666
1648227772.952846, 1.224036, -9.678261, 3.143437, 0.209380, -0.563808, -0.980102, 113.356522, -41.463242, 90.091537
1648227772.986188, -0.562039, -10.075399, 3.366397, 0.152869, -0.649890, -1.143531, 115.686203, -40.780136, 89.876450
1648227773.018906, -1.755997, -10.694151, 3.953874, 0.148311, -0.910030, -1.558360, 118.101898, -39.773117, 89.828186
1648227773.052788, -1.658882, -11.565341, 2.305317, 0.212137, -0.906114, -2.027706, 121.013565, -38.766785, 89.893143
1648227773.086109, -2.290952, -12.335376, 1.130811, 0.232517, -0.505793, -2.648137, 125.829315, -36.148956, 89.945877
1648227773.118598, -2.757073, -16.324714, 3.477877, 0.142562, -0.848405, -3.194514, 129.893784, -33.319397, 89.719864
1648227773.152767, -4.916493, -18.259529, 3.295469, 0.030614, -1.579267, -3.273314, 134.437225, -29.819412, 89.317307
1648227773.186168, -6.215048, -20.325425, 1.562366, 0.075660, -2.773222, -2.839571, 138.299652, -25.575577, 87.354324
1648227773.219455, 3.285593, -15.281142, 3.918859, 0.257369, -0.192226, -2.725056, 142.114487, -19.014359, 85.508362
1648227773.252778, 6.868516, -6.889914, 2.971055, 0.610779, 1.372079, -2.017952, 143.221420, -14.405624, 87.310684
1648227773.285134, 3.340360, -6.930017, 3.262698, -0.030851, 0.234330, -0.093670, 143.045685, -11.624969, 88.773361
1648227773.319445, 1.642422, -1.954267, 1.770512, -0.097566, 0.378290, 1.529094, 141.816498, -10.006714, 88.654037
1648227773.352845, 1.075445, -2.313846, 1.648707, -0.341922, 0.646247, 2.696336, 140.485062, -10.203690, 88.665146
1648227773.386126, 1.868974, -3.073107, 2.154183, -0.666407, 0.979573, 3.718935, 138.676834, -11.230164, 88.814606
1648227773.419444, 2.901024, -3.175909, 2.291850, -0.920241, 1.093816, 4.634284, 135.334503, -13.562927, 88.734589
1648227773.452847, 2.435202, -4.973206, 1.981950, -1.168078, 1.191510, 5.726999, 132.594040, -15.098816, 88.147232
1648227773.486114, 1.638831, -7.534852, 1.817798, -1.104052, 1.100965, 6.421035, 130.255173, -16.139160, 87.730515
1648227773.519444, 2.505532, -12.945299, 2.971504, -0.943635, 1.631168, 6.825937, 128.449783, -18.075851, 90.762619
1648227773.552778, 5.618892, -20.388273, 4.490026, -1.156652, 2.061460, 6.000132, 127.316452, -21.818451, 96.117325
1648227773.586169, 3.212869, -15.127314, 4.727950, -0.518010, 1.498899, 4.459891, 124.988754, -26.657013, 102.164429
1648227773.619505, 10.663625, -11.611579, 7.581688, -0.041440, 0.355917, 1.608487, 122.061203, -30.256836, 107.909958
1648227773.652781, 5.874922, -8.850615, 3.985598, 1.046325, -0.909846, -2.711988, 126.028275, -29.977020, 113.867172
1648227773.686184, -2.323722, -18.287361, 1.116745, -0.300431, -0.780087, -2.260470, 129.904938, -27.928223, 116.929169
1648227773.719454, -9.108291, -13.050344, -5.549311, 0.741272, 2.444005, -3.061438, 131.305176, -27.692871, 121.798264
1648227773.752833, 8.362198, -12.185289, 3.268983, 1.226026, 1.657285, -3.004175, 131.229965, -25.076004, 129.276062
1648227773.786156, 5.058499, -7.437737, 7.972542, 1.190560, 0.363391, -2.320766, 131.650787, -22.734665, 132.953049
1648227773.819480, 7.745542, -10.624868, 6.697330, 0.447549, -1.533196, -1.499937, 134.512009, -20.842422, 133.663620
1648227773.852662, 1.132457, -9.919028, 0.459387, 0.493268, -1.737407, -0.887446, 139.508926, -19.501297, 132.435410
1648227773.885597, 0.781108, -10.444705, 1.832163, 0.270543, 0.570505, -0.860977, 139.453232, -18.672989, 133.559235
1648227773.918615, 3.365499, -9.435399, 3.632752, 0.275032, -1.001956, -0.513522, 140.530869, -18.181702, 134.101807
1648227773.952776, -0.087388, -8.590994, 3.479972, 0.238318, -0.769933, -0.423967, 142.554123, -17.613800, 133.191818
1648227773.986109, 1.072902, -9.761609, 2.486229, 0.232803, -0.382483, -0.559295, 143.662949, -16.847382, 133.332062
1648227774.019459, -0.132280, -9.133730, 3.098247, 0.243159, -0.492567, -0.643746, 144.902710, -16.154678, 133.156357
1648227774.052780, -0.037709, -8.993070, 3.319411, 0.223226, -0.406608, -0.787151, 146.112244, -15.193588, 133.171371
1648227774.086111, -0.159963, -8.779238, 2.461539, 0.255993, -0.450314, -1.009990, 147.852524, -13.786102, 132.980942
1648227774.119454, 0.413598, -9.613617, 2.745850, 0.257560, -0.381954, -1.189969, 149.100113, -12.532349, 133.191757
1648227774.152855, 0.581641, -10.329334, 3.073706, 0.286993, -0.812155, -1.327049, 150.921158, -10.727707, 132.967728
1648227774.186102, -2.407519, -11.275642, 2.228553, 0.307179, -0.602347, -1.948089, 153.766586, -8.179245, 133.132477
1648227774.219459, -1.108216, -12.470199, 2.366219, 0.333054, -0.726776, -2.421715, 156.006027, -5.574722, 133.422821
1648227774.252856, -1.166275, -13.858238, 2.904466, 0.294826, -0.781644, -2.752396, 158.444672, -2.621323, 133.779526
1648227774.286144, -2.196231, -15.452776, 3.595941, 0.152558, -1.055340, -3.057445, 161.050400, 0.547882, 133.847702
1648227774.319448, -2.430115, -19.624523, 3.528455, 0.062418, -2.988913, -2.605645, 166.952271, 3.708145, 131.688477
1648227774.352777, -7.783699, -16.431406, 1.681478, 0.269976, -1.966735, -3.102302, 172.308365, 6.389023, 128.356964
1648227774.386116, 2.301875, -13.871556, 5.202301, 0.563008, -0.124623, -2.724494, 173.849640, 10.626358, 129.689697
1648227774.419459, 12.146234, -7.279271, 5.756409, 0.314696, 0.801867, -1.067063, 173.177597, 14.318588, 132.526321
1648227774.452270, 1.891719, -5.773617, 1.639280, -0.029706, -0.751811, 0.805850, 175.152939, 13.111496, 131.634674
1648227774.486125, 1.419612, -1.136797, 0.139911, -0.002987, 0.081591, 1.896458, 177.321869, 8.799286, 131.200287
1648227774.519449, 1.704672, -1.897405, 0.956783, -0.084890, 0.658008, 3.264307, 179.029602, -0.229477, 131.742737
1648227774.552801, 2.840271, -3.019088, 1.274912, -0.301846, 0.858418, 4.282702, 178.287796, -10.026474, 132.394165
1648227774.586109, 2.174983, -4.115333, 1.176301, -0.551160, 0.959972, 5.165668, 175.795456, -22.760468, 133.137543
1648227774.619449, 1.168370, -7.210587, 0.982670, -0.792715, 1.269075, 5.875638, 168.056824, -42.133270, 133.445786
1648227774.651983, 1.063175, -10.660183, 1.237802, -0.903682, 1.846211, 6.418915, 157.347366, -57.294373, 133.761566
1648227774.686118, 2.284817, -16.986711, 3.609558, -1.132143, 2.647844, 6.449453, 140.785278, -71.903503, 133.897232
1648227774.719453, 4.952855, -18.838028, 5.432294, -1.486968, 2.062602, 5.282422, 120.245285, -83.873871, 132.488327
1648227774.752792, 6.874501, -14.017003, 8.123676, -0.385993, 1.523892, 3.748029, 94.291962, -90.100906, 129.241974
1648227774.786114, 8.497471, -8.593837, 7.040150, 0.331491, -1.231142, -0.116616, 87.263428, -90.346970, 129.688416
1648227774.819454, 6.807912, -8.699631, 3.377021, 0.818202, -0.762479, -2.662625, 91.726242, -90.888672, 132.081528
1648227774.852831, -18.950555, -19.150621, -6.147861, 0.533138, -0.184023, -1.873147, 98.145874, -91.789185, 132.785599
1648227774.886184, 8.299051, -14.774618, 2.676269, 1.302690, 2.297909, -3.999280, 101.344055, -90.903946, 133.396912
1648227774.919443, 10.033201, -9.891495, 4.618864, 1.309194, 1.388106, -2.936095, 105.757248, -89.309464, 135.521591
1648227774.952775, 5.833921, -9.000852, 7.313688, 0.710297, -0.858838, -1.826283, 112.024399, -86.613312, 138.211761
1648227774.986109, 4.321684, -10.486454, 1.480215, 0.558158, -1.970064, -1.029252, 118.171295, -85.228058, 138.734039
1648227775.019512, -1.953669, -10.280103, 1.609652, 0.399873, -0.159214, -0.939867, 121.636795, -84.231537, 138.690674
1648227775.052782, 3.536984, -9.554810, 3.586514, 0.309184, -0.641792, -0.666959, 122.983383, -83.321213, 139.349197
1648227775.086108, 1.247379, -8.642021, 4.021660, 0.281215, -1.055560, -0.432886, 126.828629, -82.328537, 139.360001
1648227775.119452, -1.288829, -9.808745, 2.148946, 0.206520, -0.259356, -0.623966, 128.711884, -81.317871, 138.798691
1648227775.152793, 0.958130, -9.404723, 2.871845, 0.232762, -0.528158, -0.739863, 130.745087, -80.427460, 138.785049
1648227775.186121, -0.247501, -8.512285, 2.624494, 0.211285, -0.369683, -0.968823, 133.899399, -78.968567, 138.670853
1648227775.219442, 0.652719, -8.951621, 3.684377, 0.264124, -0.503397, -0.958334, 136.603378, -77.683304, 138.696564
1648227775.252793, 0.856376, -9.232491, 1.884237, 0.231284, -0.573053, -1.116699, 139.529572, -76.232117, 138.256042
1648227775.286119, -0.061501, -8.766220, 3.794211, 0.252330, -0.641222, -1.392355, 144.315613, -73.994156, 137.471039
1648227775.318777, -0.517896, -10.082133, 4.382885, 0.234363, -0.565478, -1.625501, 148.127258, -71.603287, 136.950058
1648227775.352848, 0.236727, -13.421895, 2.126201, 0.192914, -0.711000, -1.966063, 151.837189, -68.837402, 136.104126
1648227775.386177, -1.753453, -14.338126, 1.281197, 0.258422, -0.747524, -2.685944, 158.087128, -63.398605, 133.181808
1648227775.419563, -3.624821, -16.519991, 3.339612, 0.210379, -1.142077, -3.121197, 162.747742, -58.051651, 130.095154
1648227775.451932, -3.301454, -18.276138, 3.042881, 0.195319, -2.423063, -2.866227, 167.731262, -51.900803, 124.168198
1648227775.485978, -6.110601, -14.017003, 1.726818, 0.519137, -1.483434, -3.466834, 171.527557, -45.498489, 116.562347
1648227775.518893, 4.225916, -15.452477, 7.009175, 0.042770, -0.675223, -2.770638, 172.185013, -34.873703, 111.587708
1648227775.552055, 7.917775, -8.489091, 4.072238, -0.123121, 0.402545, -1.573620, 170.976761, -28.680038, 108.326538
1648227775.586120, -0.957830, -3.974375, 2.483984, -0.136937, 0.972775, 0.458428, 168.627014, -25.735092, 106.798264
1648227775.619458, 3.734057, -2.688838, 2.836830, -0.241788, 1.023169, 1.576711, 164.398468, -25.897934, 106.224960
